trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
A_D0_0455,04:55:00,04:55:00,CHOP,1,0,0
A_D0_0455,04:56:00,04:56:00,POZ,2,0,0
A_D0_0455,04:57:00,04:57:00,PAP,3,0,0
A_D0_0455,05:01:00,05:01:00,GRUD,4,0,0
A_D0_0455,05:02:00,05:02:00,KOM,5,0,0
A_D0_0455,05:06:00,05:06:00,KOS,6,0,0
A_D0_0455,05:07:00,05:07:00,DLU,7,0,0
A_D0_0455,05:08:00,05:08:00,NIEP,8,0,0
A_D0_0455,05:09:00,05:09:00,STY1,9,0,0
A_D0_0455,05:10:00,05:10:00,SLO,10,0,0
A_D0_0455,05:13:00,05:13:00,JAN1,11,0,0
A_D0_0455,05:15:00,05:15:00,MUS1,12,0,0
A_D0_0455,05:16:00,05:16:00,TYS1,13,0,0
A_D0_0455,05:18:00,05:18:00,KOL1,14,0,0
A_D0_0455,05:19:00,05:19:00,PLD,15,0,0
A_D0_0455,05:20:00,05:20:00,PKP,16,0,0
A_D0_0535,05:35:00,05:35:00,CHOP,1,0,0
A_D0_0535,05:36:00,05:36:00,POZ,2,0,0
A_D0_0535,05:37:00,05:37:00,PAP,3,0,0
A_D0_0535,05:41:00,05:41:00,GRUD,4,0,0
A_D0_0535,05:43:00,05:43:00,KOM,5,0,0
A_D0_0535,05:47:00,05:47:00,KOS,6,0,0
A_D0_0535,05:48:00,05:48:00,DLU,7,0,0
A_D0_0535,05:49:00,05:49:00,NIEP,8,0,0
A_D0_0535,05:50:00,05:50:00,STY1,9,0,0
A_D0_0535,05:51:00,05:51:00,SLO,10,0,0
A_D0_0535,05:54:00,05:54:00,JAN1,11,0,0
A_D0_0535,05:56:00,05:56:00,MUS1,12,0,0
A_D0_0535,05:57:00,05:57:00,TYS1,13,0,0
A_D0_0535,05:59:00,05:59:00,KOL1,14,0,0
A_D0_0535,06:00:00,06:00:00,PLD,15,0,0
A_D0_0535,06:01:00,06:01:00,PKP,16,0,0
A_D0_0636,06:36:00,06:36:00,CHOP,1,0,0
A_D0_0636,06:37:00,06:37:00,POZ,2,0,0
A_D0_0636,06:38:00,06:38:00,PAP,3,0,0
A_D0_0636,06:42:00,06:42:00,GRUD,4,0,0
A_D0_0636,06:44:00,06:44:00,KOM,5,0,0
A_D0_0636,06:49:00,06:49:00,KOS,6,0,0
A_D0_0636,06:50:00,06:50:00,DLU,7,0,0
A_D0_0636,06:51:00,06:51:00,NIEP,8,0,0
A_D0_0636,06:52:00,06:52:00,STY1,9,0,0
A_D0_0636,06:54:00,06:54:00,SLO,10,0,0
A_D0_0636,06:57:00,06:57:00,JAN1,11,0,0
A_D0_0636,06:59:00,06:59:00,MUS1,12,0,0
A_D0_0636,07:00:00,07:00:00,TYS1,13,0,0
A_D0_0636,07:02:00,07:02:00,KOL1,14,0,0
A_D0_0636,07:03:00,07:03:00,PLD,15,0,0
A_D0_0636,07:04:00,07:04:00,PKP,16,0,0
A_D0_0731,07:31:00,07:31:00,CHOP,1,0,0
A_D0_0731,07:33:00,07:33:00,POZ,2,0,0
A_D0_0731,07:34:00,07:34:00,PAP,3,0,0
A_D0_0731,07:39:00,07:39:00,GRUD,4,0,0
A_D0_0731,07:42:00,07:42:00,KOM,5,0,0
A_D0_0731,07:47:00,07:47:00,KOS,6,0,0
A_D0_0731,07:49:00,07:49:00,DLU,7,0,0
A_D0_0731,07:50:00,07:50:00,NIEP,8,0,0
A_D0_0731,07:52:00,07:52:00,STY1,9,0,0
A_D0_0731,07:54:00,07:54:00,SLO,10,0,0
A_D0_0731,07:57:00,07:57:00,JAN1,11,0,0
A_D0_0731,07:59:00,07:59:00,MUS1,12,0,0
A_D0_0731,08:01:00,08:01:00,TYS1,13,0,0
A_D0_0731,08:03:00,08:03:00,KOL1,14,0,0
A_D0_0731,08:04:00,08:04:00,PLD,15,0,0
A_D0_0731,08:05:00,08:05:00,PKP,16,0,0
A_D0_0900,09:00:00,09:00:00,CHOP,1,0,0
A_D0_0900,09:02:00,09:02:00,POZ,2,0,0
A_D0_0900,09:03:00,09:03:00,PAP,3,0,0
A_D0_0900,09:08:00,09:08:00,GRUD,4,0,0
A_D0_0900,09:11:00,09:11:00,KOM,5,0,0
A_D0_0900,09:16:00,09:16:00,KOS,6,0,0
A_D0_0900,09:18:00,09:18:00,DLU,7,0,0
A_D0_0900,09:19:00,09:19:00,NIEP,8,0,0
A_D0_0900,09:21:00,09:21:00,STY1,9,0,0
A_D0_0900,09:23:00,09:23:00,SLO,10,0,0
A_D0_0900,09:26:00,09:26:00,JAN1,11,0,0
A_D0_0900,09:28:00,09:28:00,MUS1,12,0,0
A_D0_0900,09:30:00,09:30:00,TYS1,13,0,0
A_D0_0900,09:32:00,09:32:00,KOL1,14,0,0
A_D0_0900,09:33:00,09:33:00,PLD,15,0,0
A_D0_0900,09:34:00,09:34:00,PKP,16,0,0
A_D0_1240,12:40:00,12:40:00,CHOP,1,0,0
A_D0_1240,12:42:00,12:42:00,POZ,2,0,0
A_D0_1240,12:43:00,12:43:00,PAP,3,0,0
A_D0_1240,12:48:00,12:48:00,GRUD,4,0,0
A_D0_1240,12:51:00,12:51:00,KOM,5,0,0
A_D0_1240,12:56:00,12:56:00,KOS,6,0,0
A_D0_1240,12:57:00,12:57:00,DLU,7,0,0
A_D0_1240,12:58:00,12:58:00,NIEP,8,0,0
A_D0_1240,13:00:00,13:00:00,STY1,9,0,0
A_D0_1240,13:02:00,13:02:00,SLO,10,0,0
A_D0_1240,13:05:00,13:05:00,JAN1,11,0,0
A_D0_1240,13:07:00,13:07:00,MUS1,12,0,0
A_D0_1240,13:09:00,13:09:00,TYS1,13,0,0
A_D0_1240,13:11:00,13:11:00,KOL1,14,0,0
A_D0_1240,13:12:00,13:12:00,PLD,15,0,0
A_D0_1240,13:13:00,13:13:00,PKP,16,0,0
A_D0_1335,13:35:00,13:35:00,CHOP,1,0,0
A_D0_1335,13:37:00,13:37:00,POZ,2,0,0
A_D0_1335,13:38:00,13:38:00,PAP,3,0,0
A_D0_1335,13:43:00,13:43:00,GRUD,4,0,0
A_D0_1335,13:46:00,13:46:00,KOM,5,0,0
A_D0_1335,13:51:00,13:51:00,KOS,6,0,0
A_D0_1335,13:53:00,13:53:00,DLU,7,0,0
A_D0_1335,13:54:00,13:54:00,NIEP,8,0,0
