trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible
A_D0_0455,A,ZGM_WR,Pl. Chopina > Dworzec PKP,4:55,0,chop-pkp,1
A_D0_0535,A,ZGM_WR,Pl. Chopina > Dworzec PKP,5:35,0,chop-pkp,1
A_D0_0636,A,ZGM_WR,Pl. Chopina > Dworzec PKP,6:36,0,chop-pkp,1
A_D0_0731,A,ZGM_WR,Pl. Chopina > Dworzec PKP,7:31,0,chop-pkp,1
A_D0_0900,A,ZGM_WR,Pl. Chopina > Dworzec PKP,9:00,0,chop-pkp,1
A_D0_1240,A,ZGM_WR,Pl. Chopina > Dworzec PKP,12:40,0,chop-pkp,1
A_D0_1335,A,ZGM_WR,Pl. Chopina > Dworzec PKP,13:35,0,chop-pkp,1
A_D0_1440,A,ZGM_WR,Pl. Chopina > Dworzec PKP,14:40,0,chop-pkp,1
A_D0_1550,A,ZGM_WR,Pl. Chopina > Dworzec PKP,15:50,0,chop-pkp,1
A_D0_1656,A,ZGM_WR,Pl. Chopina > Dworzec PKP,16:56,0,chop-pkp,1
A_D1_0520,A,ZGM_WR,Dworzec PKP > Pl. Chopina,5:20,1,pkp-chop,1
A_D1_0620,A,ZGM_WR,Dworzec PKP > Pl. Chopina,6:20,1,pkp-chop,1
A_D1_0715,A,ZGM_WR,Dworzec PKP > Pl. Chopina,7:15,1,pkp-chop,1
A_D1_0815,A,ZGM_WR,Dworzec PKP > Pl. Chopina,8:15,1,pkp-chop,1
A_D1_0950,A,ZGM_WR,Dworzec PKP > Pl. Chopina,9:50,1,pkp-chop,1
A_D1_1314,A,ZGM_WR,Dworzec PKP > Pl. Chopina,13:14,1,pkp-chop,1
A_D1_1420,A,ZGM_WR,Dworzec PKP > Pl. Chopina,14:20,1,pkp-chop,1
A_D1_1523,A,ZGM_WR,Dworzec PKP > Pl. Chopina,15:23,1,pkp-chop,1
A_D1_1640,A,ZGM_WR,Dworzec PKP > Pl. Chopina,16:40,1,pkp-chop,1
A_D1_1740,A,ZGM_WR,Dworzec PKP > Pl. Chopina,17:40,1,pkp-chop,1
